law,section,punishment,next_steps,keywords
Bharatiya Nyaya Sanhita 2023,Sexual harassment and outraging modesty (BNS),Punishment follows BNS harassment/modesty offence provisions with imprisonment and/or fine.,1. Preserve chats/audio/video/CCTV. 2. File FIR or complaint to women police station. 3. Seek protection and legal aid.,bns harassment misbehave molest eve teasing
Bharatiya Nyaya Sanhita 2023,Snatching (BNS),Punishment follows BNS snatching provisions and may increase for repeat/violent conduct.,1. Report immediately with location/time details. 2. Preserve CCTV and bystander contacts. 3. Block stolen cards/phones and file FIR.,bns snatching chain snatching phone snatch
Bharatiya Nyaya Sanhita 2023,Stalking (BNS),"Punishment under BNS stalking provisions, stricter on repeat conduct.",1. Save messages/call logs/location evidence. 2. File FIR and request restraining measures. 3. Continue incident documentation.,bns stalking following repeated calls
Bharatiya Nyaya Sanhita 2023,Terror-related offences (BNS),Severe punishment under BNS anti-terror provisions based on act and impact.,1. Inform police/emergency immediately. 2. Preserve suspicious communication/material evidence. 3. Follow security agency directions.,bns terror terrorism bomb threat
Bharatiya Nyaya Sanhita 2023,Theft (BNS),Punishment follows BNS theft provisions (generally similar to prior theft framework).,1. File FIR with item details and ownership proof. 2. Preserve CCTV/witness data. 3. Track recovery and investigation updates.,bns theft stolen property bns section theft
Code of Civil Procedure (CPC),Section 10 - Stay of suit,Punishment not explicitly available in imported source text.,1. Identify proper legal forum and remedy. 2. Preserve documentary evidence. 3. Consult lawyer for case strategy.,civil procedure cpc stay suit court proceed trial which matter issue also directly substantially previously instituted between same parties whom claim litigating title where such
Code of Civil Procedure (CPC),Section 100 - Second appeal,Punishment not explicitly available in imported source text.,1. Identify proper legal forum and remedy. 2. Preserve documentary evidence. 3. Consult lawyer for case strategy.,civil procedure cpc 100 second appeal save otherwise expressly provided body other time being force lie high court every decree passed subordinate satisfied case involves
Code of Civil Procedure (CPC),Section 100A. - No further appeal in certain cases,Punishment not explicitly available in imported source text.,1. Identify proper legal forum and remedy. 2. Preserve documentary evidence. 3. Consult lawyer for case strategy.,civil procedure cpc 100a further appeal certain cases notwithstanding anything contained letters patent high court instrument having force other time being where original appellate decree
Code of Civil Procedure (CPC),Section 101 - Second appeal on no other grounds,Punishment not explicitly available in imported source text.,1. Identify proper legal forum and remedy. 2. Preserve documentary evidence. 3. Consult lawyer for case strategy.,civil procedure cpc 101 second appeal other grounds lie except ground mentioned 100
Code of Civil Procedure (CPC),Section 102 - No second appeal in certain cases,Punishment not explicitly available in imported source text.,1. Identify proper legal forum and remedy. 2. Preserve documentary evidence. 3. Consult lawyer for case strategy.,civil procedure cpc 102 second appeal certain cases lie decree when subject matter original suit recovery money exceeding twenty five thousand rupees
Code of Civil Procedure (CPC),Section 103 - Power of High Court to determine issue of fact,Punishment not explicitly available in imported source text.,1. Identify proper legal forum and remedy. 2. Preserve documentary evidence. 3. Consult lawyer for case strategy.,civil procedure cpc 103 power high court determine issue fact second appeal evidence record sufficient necessary disposal which been determined lower appellate both first instance
Code of Civil Procedure (CPC),Section 104 - Orders from which appeal lies,"(1) An appeal shall lie from the following orders, and save as otherwise expressly provided in the body of this Code or by any law for the time being in force, from no other orders:--- 1** * * * 2[(ff) an order under section 35A;] 3[(ffa) an order under section 91 or section 92 refusing leave to institute a suit of the nature referred to in section 91 or section 92, as the case may be;] (g) an order under section 95; (h) an order under any of the provisions of this Code imposing a fine or directing the arrest or detention in the civil prison of any person except where such arrest or detention is in execution of a decree; (i) any order made under rules from which an appeal is expressly allowed by rules: 2[Provided that no appeal shall lie against any order specified in clause (ff) save on the ground that no order, or an order for the payment of a less amount, ought to have been made.] (2) No appeal shall lie from any order passed in appeal under this section.",1. Identify proper legal forum and remedy. 2. Preserve documentary evidence. 3. Consult lawyer for case strategy.,civil procedure cpc 104 orders which appeal lies lie following save otherwise expressly provided body time being force other order 35a ffa refusing leave institute
Code of Civil Procedure (CPC),Section 105 - Other orders,Punishment not explicitly available in imported source text.,1. Identify proper legal forum and remedy. 2. Preserve documentary evidence. 3. Consult lawyer for case strategy.,civil procedure cpc 105 other orders save otherwise expressly provided appeal lie order made court exercise original appellate jurisdiction but where decree appealed error defect
Code of Civil Procedure (CPC),Section 106 - What Courts to hear appeals,Punishment not explicitly available in imported source text.,1. Identify proper legal forum and remedy. 2. Preserve documentary evidence. 3. Consult lawyer for case strategy.,civil procedure cpc 106 what courts hear appeals where appeal order allowed lie court which would decree suit such made being high exercise appellate jurisdiction
Code of Civil Procedure (CPC),Section 107 - Powers of Appellate Court,Punishment not explicitly available in imported source text.,1. Identify proper legal forum and remedy. 2. Preserve documentary evidence. 3. Consult lawyer for case strategy.,civil procedure cpc 107 powers appellate court subject such conditions limitations prescribed power determine case finally remand frame issues refer trial take additional evidence require
Code of Civil Procedure (CPC),Section 108 - Procedure in appeals from appellate decrees and orders,Punishment not explicitly available in imported source text.,1. Identify proper legal forum and remedy. 2. Preserve documentary evidence. 3. Consult lawyer for case strategy.,civil procedure cpc 108 appeals appellate decrees orders provisions part relating original far apply made special local which different provided
Code of Civil Procedure (CPC),Section 109 - When appeals lie to the Supreme Court,Punishment not explicitly available in imported source text.,1. Identify proper legal forum and remedy. 2. Preserve documentary evidence. 3. Consult lawyer for case strategy.,civil procedure cpc 109 when appeals lie supreme court subject provisions chapter part constitution such rules time made regarding courts india hereinafter contained appeal judgment
Code of Civil Procedure (CPC),Section 11 - Res judicata,Punishment not explicitly available in imported source text.,1. Identify proper legal forum and remedy. 2. Preserve documentary evidence. 3. Consult lawyer for case strategy.,civil procedure cpc res judicata court try suit issue which matter directly substantially been former between same parties whom claim litigating title competent such subsequent
Code of Civil Procedure (CPC),Section 110 - [Omitted],Punishment not explicitly available in imported source text.,1. Identify proper legal forum and remedy. 2. Preserve documentary evidence. 3. Consult lawyer for case strategy.,civil procedure cpc 110 omitted value subject matters amendment 1973
Code of Civil Procedure (CPC),Section 111 - [Omitted],Punishment not explicitly available in imported source text.,1. Identify proper legal forum and remedy. 2. Preserve documentary evidence. 3. Consult lawyer for case strategy.,civil procedure cpc 111 omitted bar certain appeals 1950
Code of Civil Procedure (CPC),Section 111A. - [Omitted],Punishment not explicitly available in imported source text.,1. Identify proper legal forum and remedy. 2. Preserve documentary evidence. 3. Consult lawyer for case strategy.,civil procedure cpc 111a omitted appeals federal court rep 1941
Code of Civil Procedure (CPC),Section 112 - Savings,Punishment not explicitly available in imported source text.,1. Identify proper legal forum and remedy. 2. Preserve documentary evidence. 3. Consult lawyer for case strategy.,civil procedure cpc 112 savings nothing contained deemed affect powers supreme court 136 other provision constitution interfere rules made time being force presentation appeals conduct
Code of Civil Procedure (CPC),Section 113 - Reference to High Court,"Explanation.In this section,""Regulation"" means any Regulation of the Bengal, Bombay or Madras Code or Regulation as defined in the General Clauses Act,1897, (10 of 1897) or in the General Clauses Act of a State.]",1. Identify proper legal forum and remedy. 2. Preserve documentary evidence. 3. Consult lawyer for case strategy.,civil procedure cpc 113 reference high court subject such conditions limitations prescribed state case refer same opinion make order thereon thinks fit provided where satisfied
Code of Civil Procedure (CPC),Section 114 - Review,Punishment not explicitly available in imported source text.,1. Identify proper legal forum and remedy. 2. Preserve documentary evidence. 3. Consult lawyer for case strategy.,civil procedure cpc 114 review subject aforesaid person considering aggrieved decree order which appeal allowed but been preferred decision reference court small causes apply judgment
Code of Civil Procedure (CPC),Section 115 - Revision,Punishment not explicitly available in imported source text.,1. Identify proper legal forum and remedy. 2. Preserve documentary evidence. 3. Consult lawyer for case strategy.,civil procedure cpc 115 revision high court call record case which been decided subordinate such appeal lies thereto appears exercised jurisdiction vested failed exercise acted
Code of Civil Procedure (CPC),Section 116 - Part to apply only to certain High Courts,Punishment not explicitly available in imported source text.,1. Identify proper legal forum and remedy. 2. Preserve documentary evidence. 3. Consult lawyer for case strategy.,civil procedure cpc 116 part apply only certain high courts 2this applies being court judicial commissioner
Code of Civil Procedure (CPC),Section 117 - Application of Code to High Courts,Punishment not explicitly available in imported source text.,1. Identify proper legal forum and remedy. 2. Preserve documentary evidence. 3. Consult lawyer for case strategy.,civil procedure cpc 117 application high courts save provided part rules provisions court apply such
Code of Civil Procedure (CPC),Section 118 - Execution of decree before ascertainment of costs,Punishment not explicitly available in imported source text.,1. Identify proper legal forum and remedy. 2. Preserve documentary evidence. 3. Consult lawyer for case strategy.,civil procedure cpc 118 execution decree before ascertainment costs where such high court considers necessary passed exercise original jurisdiction should executed amount incurred suit can
Code of Civil Procedure (CPC),Section 119 - Unauthorised persons not to address Court,Punishment not explicitly available in imported source text.,1. Identify proper legal forum and remedy. 2. Preserve documentary evidence. 3. Consult lawyer for case strategy.,civil procedure cpc 119 unauthorised persons address court nothing deemed authorize person behalf another exercise original jurisdiction examine witnesses except where power conferred charter authorized
Code of Civil Procedure (CPC),Section 12 - Bar to further suit,Punishment not explicitly available in imported source text.,1. Identify proper legal forum and remedy. 2. Preserve documentary evidence. 3. Consult lawyer for case strategy.,civil procedure cpc bar further suit where plaintiff precluded rules instituting respect particular cause action entitled institute such court which applies
Code of Civil Procedure (CPC),Section 120 - Provisions not applicable to High Court in original civil jurisdiction,Punishment not explicitly available in imported source text.,1. Identify proper legal forum and remedy. 2. Preserve documentary evidence. 3. Consult lawyer for case strategy.,civil procedure cpc 120 provisions applicable high court original jurisdiction following apply exercise namely sections
Code of Civil Procedure (CPC),Section 121 - Effect of rules in First Schedule,Punishment not explicitly available in imported source text.,1. Identify proper legal forum and remedy. 2. Preserve documentary evidence. 3. Consult lawyer for case strategy.,civil procedure cpc 121 effect rules first schedule enacted body until annulled altered accordance provisions part
Code of Civil Procedure (CPC),Section 122 - Power of certain High Courts to make rules,Punishment not explicitly available in imported source text.,1. Identify proper legal forum and remedy. 2. Preserve documentary evidence. 3. Consult lawyer for case strategy.,civil procedure cpc 122 power certain high courts make rules being court judicial commissioner time after previous publication regulating own subjects superintendence such annul alter
Code of Civil Procedure (CPC),Section 123 - Constitution of Rule Committees in certain States,Punishment not explicitly available in imported source text.,1. Identify proper legal forum and remedy. 2. Preserve documentary evidence. 3. Consult lawyer for case strategy.,civil procedure cpc 123 constitution rule committees certain states committee called constituted town which usual place sitting each high courts referred 122 such consist following
Code of Civil Procedure (CPC),Section 124 - Committee to report to High Court,Punishment not explicitly available in imported source text.,1. Identify proper legal forum and remedy. 2. Preserve documentary evidence. 3. Consult lawyer for case strategy.,civil procedure cpc 124 committee report high court every rule make established town which constituted proposal annul alter add rules first schedule new before making
Code of Civil Procedure (CPC),Section 125 - Power of other High Courts to make rules,Punishment not explicitly available in imported source text.,1. Identify proper legal forum and remedy. 2. Preserve documentary evidence. 3. Consult lawyer for case strategy.,civil procedure cpc 125 power other high courts make rules than specified 122 exercise powers conferred such manner subject conditions state government determine provided court
Code of Civil Procedure (CPC),Section 126 - Rules to be subject to approval,Punishment not explicitly available in imported source text.,1. Identify proper legal forum and remedy. 2. Preserve documentary evidence. 3. Consult lawyer for case strategy.,civil procedure cpc 126 rules subject approval made foregoing provisions previous government state which court whose regulate situate central
Code of Civil Procedure (CPC),Section 127 - Publication of rules,Punishment not explicitly available in imported source text.,1. Identify proper legal forum and remedy. 2. Preserve documentary evidence. 3. Consult lawyer for case strategy.,civil procedure cpc 127 publication rules made approved published official gazette date such other specified same force effect within local limits jurisdiction high court which
Code of Civil Procedure (CPC),Section 128 - Matters for which rules may provide,"(2) In particular, and without prejudice to the generality of the powers conferred by sub-section (1), such rules may provide for all or any of the following matters, namely:— (a) the service of summonses, notices and other processes by post or in any other manner either generally or in any specified areas, and the proof of such service; (b) the maintenance and custody, while under attachment, of live-stock and other movable property, the fees payable for such maintenance and custody, the sale of such live-stock and property, and the proceeds of such sale; (c) procedure in suits by way of counterclaim, and the valuation of such suits for the purposes of jurisdiction; (d) procedure in garnishee and charging orders either in addition to, or in substitution for, the attachment and sale of debts; (e) procedure where the defendant claims to be entitled to contribution or indemnity over against any person whether a party to the suit or not; (f) summary procedure— (i) in suits in which the plaintiff seeks only to recover a debt or liquidated demand in money payable by the defendant, with or without interest, arising— on a contract express or implied; or on an enactment where the sum sought to be recovered is a fixed sum of money or in the nature of a debt other than a penalty; or on a guarantee, where the claim against the principal is in respect of a debt or a liquidated demand only; or on a trust; or (ii) in suits for the recovery of immovable property, with or without a claim for rent or mesne profits, by a landlord against a tenant whose term has expired or has been duly determined by notice to quit, or has become liable to forfeiture for non-payment of rent, or against persons claiming under such tenant; (g) procedure by way of originating summons; (h) consolidation of suits, appeals and other proceedings; (i) delegation to any Registrar, Prothonotary or Master or other official of the Court of any judicial, quasi-judicial and non-judicial duties; and (j) all forms, registers, books, entries and accounts which may be necessary or desirable for the transaction of the business of Civil Courts.",1. Identify proper legal forum and remedy. 2. Preserve documentary evidence. 3. Consult lawyer for case strategy.,civil procedure cpc 128 matters which rules provide such inconsistent provisions body but subject thereto relating courts particular without prejudice generality powers conferred sub following
Code of Civil Procedure (CPC),Section 129 - Power of High Courts to make rules as to their original Civil procedure,Punishment not explicitly available in imported source text.,1. Identify proper legal forum and remedy. 2. Preserve documentary evidence. 3. Consult lawyer for case strategy.,civil procedure cpc 129 power high courts make rules original notwithstanding anything court being judicial commissioner such inconsistent letters patent order other establishing regulate own
Code of Civil Procedure (CPC),Section 13 - When foreign judgment not conclusive,Punishment not explicitly available in imported source text.,1. Identify proper legal forum and remedy. 2. Preserve documentary evidence. 3. Consult lawyer for case strategy.,civil procedure cpc when foreign judgment conclusive matter thereby directly adjudicated upon between same parties whom claim litigating title except where been pronounced court competent
Code of Civil Procedure (CPC),Section 130 - Power of other High Courts to make rules as to matters other than procedure,Punishment not explicitly available in imported source text.,1. Identify proper legal forum and remedy. 2. Preserve documentary evidence. 3. Consult lawyer for case strategy.,civil procedure cpc 130 power other high courts make rules matters than court being which 129 applies previous approval state government respect matter rule might
Code of Civil Procedure (CPC),Section 131 - Publication of rules,Punishment not explicitly available in imported source text.,1. Identify proper legal forum and remedy. 2. Preserve documentary evidence. 3. Consult lawyer for case strategy.,civil procedure cpc 131 publication rules made accordance 129 130 published official gazette date such other specified force
Code of Civil Procedure (CPC),Section 132 - Exemption of certain women from personal appearance,Punishment not explicitly available in imported source text.,1. Identify proper legal forum and remedy. 2. Preserve documentary evidence. 3. Consult lawyer for case strategy.,civil procedure cpc 132 exemption certain women personal appearance who according customs manners country ought compelled appear public exempt court nothing herein contained deemed such
Code of Civil Procedure (CPC),Section 133 - Exemption of other persons,Punishment not explicitly available in imported source text.,1. Identify proper legal forum and remedy. 2. Preserve documentary evidence. 3. Consult lawyer for case strategy.,civil procedure cpc 133 exemption other persons following entitled personal appearance court namely president india vice iii speaker house people ministers union judges supreme governors
Code of Civil Procedure (CPC),Section 134 - Arrest other than in execution of decree,Punishment not explicitly available in imported source text.,1. Identify proper legal forum and remedy. 2. Preserve documentary evidence. 3. Consult lawyer for case strategy.,civil procedure cpc 134 arrest other than execution decree provisions sections apply far persons arrested
Code of Civil Procedure (CPC),Section 135 - Exemption from arrest under civil process,"(1) No Judge, Magistrate or other judicial officer shall be liable to arrest under civil process while going to, presiding in, or returning from, his Court.",1. Identify proper legal forum and remedy. 2. Preserve documentary evidence. 3. Consult lawyer for case strategy.,civil procedure cpc 135 exemption arrest process judge magistrate other judicial officer liable while going presiding returning court where matter pending before tribunal having jurisdiction
Code of Civil Procedure (CPC),Section 135A. - Exemption of members of legislative bodies from arrest and detention under civil process,"Exemption of members of legislative bodies from arrest and detention under civil process-- 2[(1) No person shall be liable to arrest or detention in prison under civil process-- (a) if he is a member of-- (i) either House of Parliament, or (ii) the Legislative Assembly or Legislative Council of a State, or (iii) a Legislative Assembly of a Union territory, during the continuance of any meeting of such House of Parliament or, as the case may be, of the Legislative Assembly or the Legislative Council; (b) if he is a member of any committee of-- (i) either House of Parliament, or (ii) the Legislative Assembly of a State or Union territory, or (iii) the Legislative Council of a State, during the continuance of any meeting of such committee; (c) if he is a member of-- (i) either House of Parliament, or (ii) a Legislative Assembly or Legislative Council of a State having both such Houses, during the continuance of a joint sitting, meeting, conference or joint committee of the Houses of Parliament or, Houses of the State Legislature, as the case may be, and during the forty days before and after such meeting, sitting or conference.] (2) A person released from detention under sub-section (1) shall, subject to the provisions, of the said sub-section, be liable to re-arrest and to the further detention to which he would have been liable if he had not been released under the provisions of sub-section (1).]",1. Identify proper legal forum and remedy. 2. Preserve documentary evidence. 3. Consult lawyer for case strategy.,civil procedure cpc 135a exemption members legislative bodies arrest detention process person liable prison member either house parliament assembly council state iii union territory during
Code of Civil Procedure (CPC),Section 136 - Procedure where person to be arrested or property to be attached is out side district,Punishment not explicitly available in imported source text.,1. Identify proper legal forum and remedy. 2. Preserve documentary evidence. 3. Consult lawyer for case strategy.,civil procedure cpc 136 where person arrested property attached out side district application made provision relating execution decrees such resides situate outside local limits jurisdiction
Code of Civil Procedure (CPC),Section 137 - Language of subordinate Courts,Punishment not explicitly available in imported source text.,1. Identify proper legal forum and remedy. 2. Preserve documentary evidence. 3. Consult lawyer for case strategy.,civil procedure cpc 137 language subordinate courts which commencement court high continue such until state government otherwise directs declare what character applications proceedings written where
Code of Civil Procedure (CPC),Section 138 - Power of High Court to require evidence to be recorded in English,Punishment not explicitly available in imported source text.,1. Identify proper legal forum and remedy. 2. Preserve documentary evidence. 3. Consult lawyer for case strategy.,civil procedure cpc 138 power high court require evidence recorded english notification official gazette direct respect judge specified falling description set forth therein cases which
Code of Civil Procedure (CPC),Section 139 - Oath on affidavit by whom to be administered,Punishment not explicitly available in imported source text.,1. Identify proper legal forum and remedy. 2. Preserve documentary evidence. 3. Consult lawyer for case strategy.,civil procedure cpc 139 oath affidavit whom administered case court magistrate notary appointed notaries 1952 officer other person high appoint behalf which state government generally
Code of Civil Procedure (CPC),Section 14 - Presumption as to foreign judgments,Punishment not explicitly available in imported source text.,1. Identify proper legal forum and remedy. 2. Preserve documentary evidence. 3. Consult lawyer for case strategy.,civil procedure cpc presumption foreign judgments court presume upon production document purporting certified copy judgment such pronounced competent jurisdiction unless contrary appears record but displaced
Code of Civil Procedure (CPC),"Section 140 - Assessors in causes of salvage, etc",Punishment not explicitly available in imported source text.,1. Identify proper legal forum and remedy. 2. Preserve documentary evidence. 3. Consult lawyer for case strategy.,civil procedure cpc 140 assessors causes salvage etc admiralty vice cause wage collision court whether exercising original appellate jurisdiction thinks fit upon request either party
Code of Civil Procedure (CPC),Section 141 - Miscellaneous proceedings,Punishment not explicitly available in imported source text.,1. Identify proper legal forum and remedy. 2. Preserve documentary evidence. 3. Consult lawyer for case strategy.,civil procedure cpc 141 miscellaneous proceedings provided regard suits followed far can made applicable court jurisdiction explanation expression includes order but does include anyproceedings 226
Code of Civil Procedure (CPC),Section 142 - Orders and notices to be in writing,Punishment not explicitly available in imported source text.,1. Identify proper legal forum and remedy. 2. Preserve documentary evidence. 3. Consult lawyer for case strategy.,civil procedure cpc 142 orders notices writing served given person provisions
Code of Civil Procedure (CPC),Section 143 - Postage,Punishment not explicitly available in imported source text.,1. Identify proper legal forum and remedy. 2. Preserve documentary evidence. 3. Consult lawyer for case strategy.,civil procedure cpc 143 postage where chargeable notice summons letter issued forwarded post fee registering same paid within time fixed before communication made provided state
Code of Civil Procedure (CPC),Section 144 - Application for restitution,Punishment not explicitly available in imported source text.,1. Identify proper legal forum and remedy. 2. Preserve documentary evidence. 3. Consult lawyer for case strategy.,civil procedure cpc 144 application restitution where far decree order varied reversed appeal revision other proceeding set aside modified suit instituted purpose court which passed
Code of Civil Procedure (CPC),Section 145 - Enforcement of liability of surety,"Where any person 1 [has furnished security or given a guarantee]-- (a) for the performance of any decree or any part thereof, or (b) for the restitution of any property taken in execution of a decree, or (c) for the payment of any money, or for the fulfilment of any condition imposed on any person, under an order of the Court in any suit or in any proceeding consequent thereon, 2 [the decree or order may be executed in the manner therein provided for the execution of decrees, namely:-- (i) if he has rendered himself personally liable, against him to that extent; (ii) if he has furnished any property as security, by sale of such property to the extent of the security; (iii) if the case falls both under clauses (i) and (ii) then to the extent specified in those clauses, and such person shall, be deemed to be a party within the meaning of section 47]: Provided that such notice as the Court in each case thinks sufficient has been given to the surety.",1. Identify proper legal forum and remedy. 2. Preserve documentary evidence. 3. Consult lawyer for case strategy.,civil procedure cpc 145 enforcement liability surety where person furnished security given guarantee performance decree part thereof restitution property taken execution payment money fulfilment condition
Code of Civil Procedure (CPC),Section 146 - Proceedings by or against representatives,Punishment not explicitly available in imported source text.,1. Identify proper legal forum and remedy. 2. Preserve documentary evidence. 3. Consult lawyer for case strategy.,civil procedure cpc 146 proceedings against representatives save otherwise provided time being force where proceeding taken application made person then claiming
Code of Civil Procedure (CPC),Section 147 - Consent or agreement by persons under disability,Punishment not explicitly available in imported source text.,1. Identify proper legal forum and remedy. 2. Preserve documentary evidence. 3. Consult lawyer for case strategy.,civil procedure cpc 147 consent agreement persons disability suits which person party proceeding given made express leave court next friend guardian suit same force effect
Code of Civil Procedure (CPC),Section 148 - Enlargement of time,Punishment not explicitly available in imported source text.,1. Identify proper legal forum and remedy. 2. Preserve documentary evidence. 3. Consult lawyer for case strategy.,civil procedure cpc 148 enlargement time where period fixed granted court doing prescribed allowed discretion enlarge such exceeding thirty days total even though originally expired
Code of Civil Procedure (CPC),Section 148A. - Right to lodge a caveat,Punishment not explicitly available in imported source text.,1. Identify proper legal forum and remedy. 2. Preserve documentary evidence. 3. Consult lawyer for case strategy.,civil procedure cpc 148a right lodge caveat 148 where application expected made been suit proceeding instituted about court person claiming appear before hearing such respect
Code of Civil Procedure (CPC),Section 149 - Power to make up deficiency of court-fees,Punishment not explicitly available in imported source text.,1. Identify proper legal forum and remedy. 2. Preserve documentary evidence. 3. Consult lawyer for case strategy.,civil procedure cpc 149 power make deficiency court fees where whole part fee prescribed document time being force relating been paid discretion stage allow person
Code of Civil Procedure (CPC),Section 15 - Court in which suits to be instituted,Punishment not explicitly available in imported source text.,1. Identify proper legal forum and remedy. 2. Preserve documentary evidence. 3. Consult lawyer for case strategy.,civil procedure cpc court which suits instituted every suit lowest grade competent try
Code of Civil Procedure (CPC),Section 150 - Transfer of business,Punishment not explicitly available in imported source text.,1. Identify proper legal forum and remedy. 2. Preserve documentary evidence. 3. Consult lawyer for case strategy.,civil procedure cpc 150 transfer business save otherwise provided where court transferred other which same powers perform duties those respectively conferred imposed upon
Code of Civil Procedure (CPC),Section 151 - Saving of inherent powers of Court,Punishment not explicitly available in imported source text.,1. Identify proper legal forum and remedy. 2. Preserve documentary evidence. 3. Consult lawyer for case strategy.,civil procedure cpc 151 saving inherent powers court nothing deemed limit otherwise affect power make such orders necessary ends justice prevent abuse process
Code of Civil Procedure (CPC),"Section 152 - Amendment of judgments, decrees or orders",Punishment not explicitly available in imported source text.,1. Identify proper legal forum and remedy. 2. Preserve documentary evidence. 3. Consult lawyer for case strategy.,civil procedure cpc 152 amendment judgments decrees orders clerical arithmetical mistakes errors arising therein accidental slip omission time corrected court either own motion application parties
Code of Civil Procedure (CPC),Section 153 - General power to amend,Punishment not explicitly available in imported source text.,1. Identify proper legal forum and remedy. 2. Preserve documentary evidence. 3. Consult lawyer for case strategy.,civil procedure cpc 153 general power amend court time such terms costs otherwise think fit defect error proceeding suit necessary amendments made purpose determining real
Code of Civil Procedure (CPC),Section 153A. - Power to amend decree or order where appeal is summarily dismissed,Punishment not explicitly available in imported source text.,1. Identify proper legal forum and remedy. 2. Preserve documentary evidence. 3. Consult lawyer for case strategy.,civil procedure cpc 153a power amend decree order where appeal summarily dismissed appellate court dismisses rule xli 152 appealed against exercised which passed first instance
Code of Civil Procedure (CPC),Section 153B. - Place of trial to be deemed to be open Court,Punishment not explicitly available in imported source text.,1. Identify proper legal forum and remedy. 2. Preserve documentary evidence. 3. Consult lawyer for case strategy.,civil procedure cpc 153b place trial deemed open court which held purpose trying suit public generally access far same can conveniently contain provided presiding judge
Code of Civil Procedure (CPC),Section 16 - Suits to be instituted where subject-matter situate,Punishment not explicitly available in imported source text.,1. Identify proper legal forum and remedy. 2. Preserve documentary evidence. 3. Consult lawyer for case strategy.,civil procedure cpc suits instituted where subject matter situate pecuniary other limitations prescribed recovery immovable property without rent profits partition foreclosure sale redemption case mortgage
Code of Civil Procedure (CPC),Section 17 - Suits for immovable property situate within jurisdiction of different Courts,Punishment not explicitly available in imported source text.,1. Identify proper legal forum and remedy. 2. Preserve documentary evidence. 3. Consult lawyer for case strategy.,civil procedure cpc suits immovable property situate within jurisdiction different courts where suit obtain relief respecting compensation wrong instituted court local limits whose portion provided
Code of Civil Procedure (CPC),Section 18 - Place of institution of suit where local limits of jurisdiction of Courts are uncertain,Punishment not explicitly available in imported source text.,1. Identify proper legal forum and remedy. 2. Preserve documentary evidence. 3. Consult lawyer for case strategy.,civil procedure cpc place institution suit where local limits jurisdiction courts uncertain alleged within which two more immovable property situate one those satisfied there ground
Code of Civil Procedure (CPC),Section 19 - Suits for compensation for wrongs to person or movables,Punishment not explicitly available in imported source text.,1. Identify proper legal forum and remedy. 2. Preserve documentary evidence. 3. Consult lawyer for case strategy.,civil procedure cpc suits compensation wrongs person movables where suit wrong done movable property within local limits jurisdiction one court defendant resides carries business personally
